date,2020-07-05,2020-07-05,2020-07-05
AN,Consumer Cyclical,NYQ,3233936128.0
ANAB,Healthcare,NMS,614825856.0
ANAT,,,
ANCN,Healthcare,NCM,11500798.0
ANDA,Financial Services,NCM,145063792.0
ANDA R,,,
ANDA W,,,
ANDE,Consumer Defensive,NMS,445465984.0
ANET,Technology,NYQ,15936552960.0
ANF,Consumer Cyclical,NYQ,675531008.0
ANGI,Communication Services,NMS,6634728960.0
ANGL,,,
ANGO,Healthcare,NMS,389387296.0
ANH,Real Estate,NYQ,161274320.0
ANH PRA,,,
ANH PRB,,,
ANH PRC,,,
ANIK,Healthcare,NMS,544942208.0
ANIP,Healthcare,NMS,381204224.0
ANIX,Healthcare,NCM,73063680.0
ANPC,Healthcare,NGM,66536316.0
ANSS,Technology,NMS,25504862208.0
ANTE,,,
ANTM,,,
ANVS,Healthcare,ASE,29496884.0
ANY,,,
AOA,,,
AOD,Financial Services,NYQ,818144576.0
AOK,,,
AOM,,,
AON,Financial Services,NYQ,44241219584.0
AOR,,,
AOS,Industrials,NYQ,7625144832.0
AOSL,Technology,NMS,259054704.0
AP,Industrials,NYQ,39115692.0
APA,Energy,NMS,5004668416.0
APAM,Financial Services,NYQ,2506247936.0
APD,Basic Materials,NYQ,54643945472.0
APDN,,,
APEI,Consumer Defensive,NMS,431906656.0
APEN,Healthcare,NGM,35706492.0
APEX,,,
APG,Industrials,NYQ,2021370240.0
APH,,,
APHA,Healthcare,NMS,1151497088.0
API,,,
APLE,Real Estate,NYQ,2102704128.0
APLS,Healthcare,NMS,2488911872.0
APLT,Healthcare,NMS,733503424.0
APM,Healthcare,NGM,115772560.0
APO,,,
APO PRA,,,
APO PRB,,,
APOG,Industrials,NMS,597470848.0
APOP,,,
APOP W,,,
APPF,Technology,NGM,5590775296.0
APPN,Technology,NGM,3575972608.0
APPS,Technology,NCM,1127404416.0
APRE,Healthcare,NMS,770605632.0
APRN,,,
APT,Industrials,ASE,233402384.0
APTO,,,
APTS,Real Estate,NYQ,361171680.0
APTV,,,
APTV PRA,,,
APTX,Healthcare,NMS,227216640.0
APVO,,,
APWC,Industrials,NGM,14787080.0
APXT,Financial Services,NCM,454957600.0
APXT U,,,
APXT W,,,
APYX,,,
AQB,Consumer Defensive,NCM,99465664.0
AQMS,Industrials,NCM,67505200.0
AQN,Utilities,NYQ,6835655168.0
AQNA,,,
AQNB,,,
AQST,Healthcare,NGM,158174512.0
AQUA,Industrials,NYQ,2128945152.0
AR,Energy,NYQ,791750528.0
ARA,Healthcare,NYQ,216269552.0
ARAV,Healthcare,NMS,186195776.0
ARAY,Healthcare,NMS,196421024.0
ARB,,,
ARC,Industrials,NYQ,40117264.0
ARCB,Industrials,NMS,648235776.0
ARCC,Financial Services,NMS,6119566848.0
ARCE,Consumer Defensive,NMS,2362518784.0
ARCH,,,
ARCM,,,
ARCO,Consumer Cyclical,NYQ,916274240.0
ARCT,Healthcare,NGM,954121536.0
ARD,Consumer Cyclical,NYQ,3238131968.0
ARDC,Financial Services,NYQ,278416032.0
ARDS,Healthcare,NCM,58180372.0
ARDX,Healthcare,NGM,625178752.0
ARE,Real Estate,NYQ,20827222016.0
AREC,,,
ARES,Financial Services,NYQ,5213625856.0
ARES PRA,,,
ARGD,,,
ARGO,Financial Services,NYQ,1168924544.0
ARGT,,,
ARGX,Healthcare,NMS,10935172096.0
ARI,Real Estate,NYQ,1438245120.0
ARKF,,,
ARKG,,,
ARKK,,,
ARKQ,,,
ARKR,Consumer Cyclical,NGM,43254764.0
ARKW,,,
ARL,Real Estate,NYQ,163330384.0
ARLO,Industrials,NYQ,204430464.0
ARLP,Energy,NMS,415927648.0
ARMK,Consumer Cyclical,NYQ,5544921600.0
ARMP,Healthcare,ASE,73833016.0
ARMR,,,
ARNA,,,
ARNC,,,
AROC,Energy,NYQ,1003194560.0
AROW,Financial Services,NMS,426885600.0
ARPO,Healthcare,NCM,51140880.0
ARQT,Healthcare,NMS,1221325440.0
ARR,,,
ARR PRC,,,
ARTL,,,
ARTL W,,,
ARTN A,,,
ARTW,Industrials,NCM,10798171.0
ARVN,Healthcare,NMS,1326388480.0
ARW,Technology,NYQ,5229048832.0
ARWR,,,
ARYA,,,
ARYA U,,,
ARYA W,,,
ARYB U,,,
ASA,,,
ASB,Financial Services,NYQ,2043864192.0
ASB PRC,,,
ASB PRD,,,
ASB PRE,,,
ASB PRF,,,
ASC,Industrials,NYQ,143201904.0
ASEA,,,
ASET,,,
ASFI,Financial Services,NMS,85052488.0
ASG,,,
ASGN,Industrials,NYQ,3396225024.0
ASH,Basic Materials,NYQ,4213783040.0
ASHR,,,
ASHS,,,
ASHX,,,
ASIX,Basic Materials,NYQ,323449664.0
ASLN,Healthcare,NGM,31437450.0
ASM,,,
ASMB,Healthcare,NMS,758505216.0
ASML,,,
ASNA,,,
ASND,Healthcare,NMS,7295127040.0
ASPN,Industrials,NYQ,168609136.0
ASPS,Financial Services,NMS,226393616.0
ASPU,,,
ASR,Industrials,NYQ,3459781632.0
ASRT,Healthcare,NMS,86432096.0
ASRV,Financial Services,NGM,51130800.0
ASRV P,,,
ASTC,,,
